service_id,competitor_name,analogous_service_name,msrp_currency,msrp_amount,evidence_url,observed_date,region,notes
SOR_PLUS,Checkr,Basic+ package (Sex Offender Registry),USD,29.99,https://checkr.com/pricing,2025-10-30,United States,"Published Basic+ bundle; includes SSN trace and national criminal search."
MVR_STANDARD,Checkr,Motor Vehicle Record (MVR),USD,9.50,https://checkr.com/pricing,2025-10-30,United States,"Per-pull driver record pricing."
MVR_CDLIS,Checkr,Commercial MVR + CDLIS,USD,14.50,https://checkr.com/pricing,2025-10-30,United States,"DOT-oriented MVR bundle with CDLIS data."
VERIFICATIONS,Checkr,Employment Verification,USD,12.50,https://checkr.com/pricing,2025-10-30,United States,"Per employer verification."
CRIMINAL_ACTIVITY_MONITORING,Checkr,Continuous Criminal Monitoring,USD,1.70,https://checkr.com/pricing,2025-10-30,United States,"Monthly monitoring fee per individual."
NAT_CRIMINAL,Checkr,Basic+ package (National Criminal),USD,29.99,https://checkr.com/pricing,2025-10-30,United States,"Published Basic+ bundle pricing."
SSN_TRACE,Checkr,Basic+ package (SSN Trace),USD,29.99,https://checkr.com/pricing,2025-10-30,United States,"Included within Basic+ bundle; no standalone price disclosed."
MED_EX_PLUS,GoodHire,Healthcare Sanctions Search (Level 1),USD,5.99,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,United States,"Base add-on rate for healthcare sanctions search."
MED_EX_PLUS_MONITORING,GoodHire,Healthcare Sanctions Alerts,USD,5.99,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,United States,"Published starting rate; ongoing alerts typically quote-based."
MED_EX_PRO,GoodHire,Healthcare Sanctions Search (Level 2),USD,5.99,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,United States,"Tiered pricing; public rate reflects entry-level add-on."
MED_EX_PRO_MONITORING,GoodHire,Healthcare Sanctions Monitoring (Level 3),USD,5.99,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,United States,"Volume/level pricing quoted; placeholder uses published base price."
MED_EX_COMPLETE,GoodHire,Healthcare Sanctions Search (Level 3),USD,5.99,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,United States,"Highest tier bundles additional registries; public rate is entry level."
MED_EX_COMPLETE_MONITORING,GoodHire,Healthcare Sanctions Monitoring (Level 3 + Alerts),USD,5.99,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,United States,"Ongoing alerts typically quote-based; placeholder uses published start price."
FEDERAL_CRIMINAL,Checkr,Federal Criminal Search,USD,10.00,https://checkr.com/pricing,2025-10-30,United States,"Per search pricing."
FEDERAL_CRIMINAL_MATCH_NO_MATCH,Checkr,Federal Criminal Search (results delivery),USD,10.00,https://checkr.com/pricing,2025-10-30,United States,"Match/No Match status bundled with federal criminal search."
FEDERAL_CIVIL,Checkr,Federal Civil Search,USD,15.00,https://checkr.com/pricing,2025-10-30,United States,"Per search pricing."
FEDERAL_CIVIL_MATCH_NO_MATCH,Checkr,Federal Civil Search (results delivery),USD,15.00,https://checkr.com/pricing,2025-10-30,United States,"Match/No Match status bundled with federal civil search."
COUNTY_CIVIL_UPPER,Checkr,County Civil Search,USD,40.00,https://checkr.com/pricing,2025-10-30,United States,"Flat per-county civil search fee (upper/lower courts)."
COUNTY_CIVIL_LOWER,Checkr,County Civil Search,USD,40.00,https://checkr.com/pricing,2025-10-30,United States,"Flat per-county civil search fee (upper/lower courts)."
COUNTY_CIVIL_UPPER_LOWER_COMBINED,Checkr,County Civil Search (Unlimited),USD,40.00,https://checkr.com/pricing,2025-10-30,United States,"Published rate per county; unlimited coverage requires volume agreement."
INTERNATIONAL_EMPLOYMENT,Checkr,International Professional Package,USD,102.94,https://checkr.com/pricing,2025-10-30,International,"Package covers one employment + one education verification outside US."
INTERNATIONAL_EDUCATION,Checkr,International Professional Package,USD,102.94,https://checkr.com/pricing,2025-10-30,International,"Same package covers degree verification."
